timestamp,elapsed_s,source,rpm,torque_nm
2026-06-04T14:00:02.865,0.000,rpm,0.000,
2026-06-04T14:00:02.868,0.000,torque,0.000,0.008230
2026-06-04T14:00:02.868,0.000,rpm,0.000,0.008230
2026-06-04T14:00:02.868,0.000,rpm,0.000,0.008230
2026-06-04T14:00:02.868,0.000,rpm,0.000,0.008230
2026-06-04T14:00:02.868,0.000,rpm,0.000,0.008230
2026-06-04T14:00:02.868,0.000,rpm,0.000,0.008230
2026-06-04T14:00:02.868,0.000,torque,0.000,0.008239
2026-06-04T14:00:02.901,0.031,rpm,0.000,0.008239
2026-06-04T14:00:02.912,0.047,rpm,0.000,0.008239
2026-06-04T14:00:02.950,0.078,torque,0.000,0.008144
2026-06-04T14:00:02.950,0.078,rpm,0.000,0.008144
2026-06-04T14:00:02.952,0.078,rpm,0.000,0.008144
2026-06-04T14:00:02.964,0.094,rpm,0.000,0.008144
2026-06-04T14:00:03.004,0.141,rpm,0.000,0.008144
2026-06-04T14:00:03.004,0.141,rpm,0.000,0.008144
2026-06-04T14:00:03.014,0.141,torque,0.000,0.008184
2026-06-04T14:00:03.016,0.156,rpm,0.000,0.008184
2026-06-04T14:00:03.061,0.187,rpm,0.000,0.008184
2026-06-04T14:00:03.082,0.219,rpm,0.000,0.008184
2026-06-04T14:00:03.089,0.219,torque,0.000,0.008216
2026-06-04T14:00:03.100,0.234,rpm,0.000,0.008216
2026-06-04T14:00:03.138,0.266,rpm,0.000,0.008216
2026-06-04T14:00:03.139,0.266,rpm,0.000,0.008216
2026-06-04T14:00:03.175,0.312,torque,0.000,0.008165
2026-06-04T14:00:03.215,0.344,rpm,0.000,0.008165
2026-06-04T14:00:03.251,0.391,rpm,0.000,0.008165
2026-06-04T14:00:03.260,0.391,torque,0.000,0.008187
2026-06-04T14:00:03.285,0.422,rpm,0.000,0.008187
2026-06-04T14:00:03.309,0.437,rpm,0.000,0.008187
2026-06-04T14:00:03.317,0.453,rpm,0.000,0.008187
2026-06-04T14:00:03.340,0.469,rpm,0.000,0.008187
2026-06-04T14:00:03.348,0.484,torque,0.000,0.008114
2026-06-04T14:00:03.364,0.500,rpm,0.000,0.008114
2026-06-04T14:00:03.406,0.547,rpm,0.000,0.008114
2026-06-04T14:00:03.407,0.547,rpm,0.000,0.008114
2026-06-04T14:00:03.425,0.562,rpm,0.000,0.008114
2026-06-04T14:00:03.442,0.578,torque,0.000,0.008128
2026-06-04T14:00:03.459,0.594,rpm,0.000,0.008128
2026-06-04T14:00:03.471,0.609,rpm,0.000,0.008128
2026-06-04T14:00:03.519,0.656,torque,0.000,0.008185
2026-06-04T14:00:03.557,0.687,rpm,0.000,0.008185
2026-06-04T14:00:03.584,0.719,rpm,0.000,0.008185
2026-06-04T14:00:03.602,0.734,rpm,0.000,0.008185
2026-06-04T14:00:03.608,0.734,torque,0.000,0.008172
2026-06-04T14:00:03.638,0.766,rpm,0.000,0.008172
2026-06-04T14:00:03.653,0.781,rpm,0.000,0.008172
2026-06-04T14:00:03.668,0.797,rpm,0.000,0.008172
2026-06-04T14:00:03.686,0.828,rpm,0.000,0.008172
2026-06-04T14:00:03.704,0.844,torque,0.000,0.008228
2026-06-04T14:00:03.705,0.844,rpm,0.000,0.008228
2026-06-04T14:00:03.732,0.859,rpm,0.000,0.008228
2026-06-04T14:00:03.748,0.875,rpm,0.000,0.008228
2026-06-04T14:00:03.773,0.906,rpm,0.000,0.008228
2026-06-04T14:00:03.780,0.906,rpm,0.000,0.008228
2026-06-04T14:00:03.781,0.922,torque,0.000,0.008106
2026-06-04T14:00:03.825,0.953,rpm,0.000,0.008106
2026-06-04T14:00:03.825,0.953,rpm,0.000,0.008106
